instance_id,applicable_rules,overrides,incl_max,prediction
463,"r1","r1 applies|","r1",1
648,"r1","r1 applies|","r1",1
3,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
178,"r11","r11 applies|","r11",0
601,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
334,"r11","r11 applies|","r11",0
655,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
564,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
413,"r11","r11 applies|","r11",0
578,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
458,"r11","r11 applies|","r11",0
529,"r1","r1 applies|","r1",1
256,"r11","r11 applies|","r11",0
59,"r11","r11 applies|","r11",0
86,"r11","r11 applies|","r11",0
163,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
416,"r11","r11 applies|","r11",0
195,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
224,"r11","r11 applies|","r11",0
405,"r4 r9 r11","r11 applies->r9 applies & overides r11->r4 applies & overides r9|","r4",1
407,"r2 r9 r11","r11 applies->r9 applies & overides r11->r2 applies & overides r9|","r2",1
235,"r11","r11 applies|","r11",0
31,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
489,"r11","r11 applies|","r11",0
143,"r11","r11 applies|","r11",0
166,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
571,"r11","r11 applies|","r11",0
425,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
51,"r3 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|","r3",0
669,"r11","r11 applies|","r11",0
616,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
679,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
372,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
472,"r1","r1 applies|","r1",1
473,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
507,"r11","r11 applies|","r11",0
251,"r2 r9 r11","r11 applies->r9 applies & overides r11->r2 applies & overides r9|","r2",1
633,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
450,"r11","r11 applies|","r11",0
423,"r2 r9 r11","r11 applies->r9 applies & overides r11->r2 applies & overides r9|","r2",1
228,"r11","r11 applies|","r11",0
34,"r0","r0 applies|","r0",1
442,"r5 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r5 applies & overides r7|","r5",1
535,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
528,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
426,"r11","r11 applies|","r11",0
340,"r3 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|","r3",0
353,"r11","r11 applies|","r11",0
295,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
561,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
410,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
585,"r1","r1 applies|","r1",1
497,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
186,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
39,"r3 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|","r3",0
603,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
62,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
14,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
419,"r3 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|","r3",0
139,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
78,"r3 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|","r3",0
260,"r11","r11 applies|","r11",0
573,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
344,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
690,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
605,"r11","r11 applies|","r11",0
404,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
488,"r11","r11 applies|","r11",0
297,"r11","r11 applies|","r11",0
358,"r11","r11 applies|","r11",0
482,"r5 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r5 applies & overides r7|","r5",1
409,"r4 r9 r11","r11 applies->r9 applies & overides r11->r4 applies & overides r9|","r4",1
77,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
97,"r1","r1 applies|","r1",1
434,"r4 r9 r11","r11 applies->r9 applies & overides r11->r4 applies & overides r9|","r4",1
197,"r11","r11 applies|","r11",0
184,"r11","r11 applies|","r11",0
574,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
553,"r4 r9 r11","r11 applies->r9 applies & overides r11->r4 applies & overides r9|","r4",1
111,"r4 r9 r11","r11 applies->r9 applies & overides r11->r4 applies & overides r9|","r4",1
160,"r11","r11 applies|","r11",0
678,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
589,"r11","r11 applies|","r11",0
103,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
203,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
127,"r11","r11 applies|","r11",0
47,"r11","r11 applies|","r11",0
287,"r11","r11 applies|","r11",0
286,"r11","r11 applies|","r11",0
699,"r11","r11 applies|","r11",0
651,"r1","r1 applies|","r1",1
501,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
118,"r11","r11 applies|","r11",0
382,"r11","r11 applies|","r11",0
