instance_id,applicable_rules,overrides,incl_max,prediction
463,"r1","r1 applies|","r1",1
648,"r1","r1 applies|","r1",1
3,"r6","r6 applies|","r6",1
178,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
601,"r6","r6 applies|","r6",1
334,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
655,"r6","r6 applies|","r6",1
564,"r6","r6 applies|","r6",1
413,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
578,"r6","r6 applies|","r6",1
458,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
529,"r1","r1 applies|","r1",1
256,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
59,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
86,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
163,"r6","r6 applies|","r6",1
416,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
195,"r6","r6 applies|","r6",1
224,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
405,"r4 r9 r11 r12","r11 applies->r9 applies & overides r11->r4 applies & overides r9|r12 applies|","r4",1
407,"r2 r9 r11 r12","r11 applies->r9 applies & overides r11->r2 applies & overides r9|r12 applies|","r2",1
235,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
31,"r6","r6 applies|","r6",1
489,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
143,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
166,"r6","r6 applies|","r6",1
571,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
425,"r6","r6 applies|","r6",1
51,"r3 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|r12 applies|","r3",0
669,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
616,"r6","r6 applies|","r6",1
679,"r6","r6 applies|","r6",1
372,"r6","r6 applies|","r6",1
472,"r1","r1 applies|","r1",1
473,"r6","r6 applies|","r6",1
507,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
251,"r2 r9 r11 r12","r11 applies->r9 applies & overides r11->r2 applies & overides r9|r12 applies|","r2",1
633,"r6","r6 applies|","r6",1
450,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
423,"r2 r9 r11 r12","r11 applies->r9 applies & overides r11->r2 applies & overides r9|r12 applies|","r2",1
228,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
34,"r0","r0 applies|","r0",1
442,"r5 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r5 applies & overides r7|r12 applies|","r5",1
535,"r6","r6 applies|","r6",1
528,"r6","r6 applies|","r6",1
426,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
340,"r3 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|r12 applies|","r3",0
353,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
295,"r6","r6 applies|","r6",1
561,"r6","r6 applies|","r6",1
410,"r6","r6 applies|","r6",1
585,"r1","r1 applies|","r1",1
497,"r6","r6 applies|","r6",1
186,"r6","r6 applies|","r6",1
39,"r3 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|r12 applies|","r3",0
603,"r6","r6 applies|","r6",1
62,"r6","r6 applies|","r6",1
14,"r6","r6 applies|","r6",1
419,"r3 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|r12 applies|","r3",0
139,"r6","r6 applies|","r6",1
78,"r3 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|r12 applies|","r3",0
260,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
573,"r6","r6 applies|","r6",1
344,"r6","r6 applies|","r6",1
690,"r6","r6 applies|","r6",1
605,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
404,"r6","r6 applies|","r6",1
488,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
297,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
358,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
482,"r5 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r5 applies & overides r7|r12 applies|","r5",1
409,"r4 r9 r11 r12","r11 applies->r9 applies & overides r11->r4 applies & overides r9|r12 applies|","r4",1
77,"r6","r6 applies|","r6",1
97,"r1","r1 applies|","r1",1
434,"r4 r9 r11 r12","r11 applies->r9 applies & overides r11->r4 applies & overides r9|r12 applies|","r4",1
197,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
184,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
574,"r6","r6 applies|","r6",1
553,"r4 r9 r11 r12","r11 applies->r9 applies & overides r11->r4 applies & overides r9|r12 applies|","r4",1
111,"r4 r9 r11 r12","r11 applies->r9 applies & overides r11->r4 applies & overides r9|r12 applies|","r4",1
160,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
678,"r6","r6 applies|","r6",1
589,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
103,"r6","r6 applies|","r6",1
203,"r6","r6 applies|","r6",1
127,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
47,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
287,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
286,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
