instanceid,entail_m,entail_not_m,abstain
6569,1,0,0
3353,1,0,0
2013,0,1,0
5224,0,1,0
3540,1,0,0
3490,0,1,0
873,0,1,0
5921,1,0,0
546,0,1,0
711,0,1,0
3709,1,0,0
3668,1,0,0
5424,1,0,0
8094,1,0,0
6783,1,0,0
3542,0,1,0
3425,0,1,0
4120,1,0,0
777,1,0,0
6534,1,0,0
4143,0,1,0
4329,1,0,0
4048,0,1,0
7616,0,1,0
2049,0,1,0
1955,0,1,0
3586,0,1,0
6373,1,0,0
3641,0,1,0
7473,1,0,0
7560,0,1,0
3501,1,0,0
1413,0,1,0
6037,1,0,0
2604,0,1,0
2811,0,1,0
2467,0,1,0
3572,0,1,0
6414,1,0,0
2512,0,1,0
2360,0,1,0
5102,0,1,0
2671,0,1,0
4922,1,0,0
5535,0,1,0
3452,1,0,0
7051,0,1,0
1254,1,0,0
4406,1,0,0
1076,0,1,0
2493,0,1,0
7208,1,0,0
881,0,1,0
7677,1,0,0
2560,0,1,0
147,0,1,0
7617,1,0,0
1875,0,1,0
4058,1,0,0
329,0,1,0
4194,1,0,0
1425,0,1,0
2007,1,0,0
2644,0,1,0
5478,1,0,0
1491,0,1,0
279,0,1,0
8064,0,1,0
1507,1,0,0
2665,0,1,0
6868,1,0,0
6618,1,0,0
7810,0,1,0
3928,1,0,0
2471,0,1,0
4878,1,0,0
3001,0,1,0
4041,1,0,0
1667,0,1,0
7164,1,0,0
3774,0,1,0
1791,1,0,0
1663,0,1,0
7997,0,1,0
1628,0,1,0
3832,1,0,0
5504,0,1,0
1462,0,1,0
3133,0,1,0
1377,0,1,0
5329,1,0,0
2139,0,1,0
2844,0,1,0
5735,0,1,0
1117,0,1,0
4755,1,0,0
4228,1,0,0
3308,0,1,0
5926,1,0,0
2948,0,1,0
3349,0,1,0
5425,1,0,0
7752,1,0,0
6230,1,0,0
5518,1,0,0
2921,0,1,0
6661,0,1,0
3618,0,1,0
1804,0,1,0
5256,1,0,0
1083,0,1,0
5446,1,0,0
3789,0,1,0
3770,0,1,0
1877,0,1,0
613,0,1,0
4376,0,1,0
7292,1,0,0
592,0,1,0
7299,1,0,0
4693,1,0,0
6059,1,0,0
6764,0,1,0
7238,1,0,0
6220,0,1,0
4036,1,0,0
8124,0,1,0
4542,1,0,0
1797,0,1,0
771,0,1,0
1223,0,1,0
4986,1,0,0
2738,0,1,0
2264,0,1,0
2686,0,1,0
7052,0,1,0
5474,1,0,0
7843,0,1,0
6003,1,0,0
4324,1,0,0
7695,1,0,0
7155,1,0,0
6605,1,0,0
7526,1,0,0
2579,0,1,0
2559,0,1,0
2767,1,0,0
7764,0,1,0
1478,0,1,0
5374,1,0,0
7533,0,1,0
7219,1,0,0
6137,1,0,0
2094,0,1,0
3216,0,1,0
5770,0,1,0
6153,1,0,0
521,0,1,0
2399,0,1,0
986,0,1,0
6056,1,0,0
966,0,1,0
1664,0,1,0
5754,1,0,0
7769,1,0,0
390,0,1,0
1953,0,1,0
317,0,1,0
2756,0,1,0
3670,0,1,0
864,0,1,0
1984,0,1,0
2972,0,1,0
1211,0,1,0
6850,0,1,0
4286,1,0,0
7861,0,1,0
4605,1,0,0
2802,0,1,0
2373,0,1,0
1689,0,1,0
6075,1,0,0
6608,1,0,0
1806,0,1,0
6157,1,0,0
5794,1,0,0
1082,1,0,0
4393,1,0,0
5328,1,0,0
4708,1,0,0
4401,1,0,0
5058,1,0,0
1261,1,0,0
2100,0,1,0
827,0,1,0
2226,0,1,0
5863,1,0,0
7437,1,0,0
6492,1,0,0
2280,0,1,0
799,1,0,0
5750,1,0,0
5680,0,1,0
6584,1,0,0
4128,0,1,0
7207,1,0,0
4705,1,0,0
143,0,1,0
4864,1,0,0
4322,1,0,0
6351,1,0,0
6188,1,0,0
1569,1,0,0
5833,1,0,0
6852,1,0,0
5235,1,0,0
4734,1,0,0
6416,1,0,0
6268,1,0,0
4492,0,1,0
5412,1,0,0
5399,1,0,0
7029,1,0,0
4190,1,0,0
1125,0,1,0
714,0,1,0
544,0,1,0
7556,0,1,0
7961,0,1,0
4057,1,0,0
284,0,1,0
6447,1,0,0
6666,1,0,0
6950,1,0,0
1102,0,1,0
152,0,1,0
7423,0,1,0
821,0,1,0
4321,1,0,0
1717,0,1,0
1242,0,1,0
3374,0,1,0
2572,1,0,0
2083,0,1,0
4577,1,0,0
498,0,1,0
3819,0,1,0
2152,0,1,0
5900,1,0,0
441,0,1,0
4350,1,0,0
7101,1,0,0
3384,0,1,0
2937,0,1,0
5580,1,0,0
2839,0,1,0
70,0,1,0
7577,0,1,0
1771,0,1,0
6129,1,0,0
1724,0,1,0
1998,0,1,0
276,0,1,0
6468,1,0,0
48,0,1,0
2623,0,1,0
2678,0,1,0
364,0,1,0
3390,1,0,0
4507,1,0,0
3827,1,0,0
3511,0,1,0
6867,1,0,0
3691,0,1,0
5887,0,1,0
7453,1,0,0
7068,0,1,0
6988,1,0,0
6754,1,0,0
6305,1,0,0
2908,0,1,0
4191,1,0,0
731,0,1,0
1809,0,1,0
5615,1,0,0
1287,1,0,0
1768,0,1,0
3204,0,1,0
7327,1,0,0
5976,1,0,0
6945,1,0,0
7044,1,0,0
1027,0,1,0
7946,0,1,0
256,0,1,0
7076,1,0,0
6593,1,0,0
1706,0,1,0
1587,0,1,0
776,0,1,0
5622,1,0,0
6184,1,0,0
5122,1,0,0
4574,1,0,0
7138,1,0,0
7282,0,1,0
3581,0,1,0
7855,0,1,0
6759,1,0,0
6011,1,0,0
6861,0,1,0
3712,0,1,0
3531,0,1,0
157,0,1,0
1871,0,1,0
2238,0,1,0
1400,1,0,0
1259,0,1,0
5413,1,0,0
1737,0,1,0
1741,0,1,0
7733,1,0,0
652,0,1,0
5120,1,0,0
2316,0,1,0
7193,1,0,0
3565,0,1,0
736,0,1,0
6320,1,0,0
1078,1,0,0
5699,0,1,0
1407,0,1,0
1107,1,0,0
4266,1,0,0
6786,1,0,0
7407,1,0,0
8066,0,1,0
1987,0,1,0
4241,1,0,0
7723,1,0,0
2326,0,1,0
4369,1,0,0
2353,0,1,0
3794,0,1,0
7712,1,0,0
3301,1,0,0
2111,0,1,0
7291,0,1,0
3619,0,1,0
5952,1,0,0
7527,0,1,0
5652,1,0,0
4979,1,0,0
2575,0,1,0
3157,1,0,0
614,1,0,0
1142,0,1,0
3671,1,0,0
2648,0,1,0
4290,1,0,0
7023,0,1,0
5949,0,1,0
3727,1,0,0
4718,0,1,0
4672,1,0,0
269,0,1,0
2275,0,1,0
3333,0,1,0
1862,0,1,0
3963,1,0,0
5972,1,0,0
3935,1,0,0
768,0,1,0
4260,1,0,0
8062,1,0,0
2889,0,1,0
4663,0,1,0
2909,0,1,0
99,0,1,0
171,0,1,0
1576,0,1,0
4870,1,0,0
1700,0,1,0
2482,0,1,0
5603,1,0,0
6029,1,0,0
1189,0,1,0
5541,0,1,0
621,0,1,0
7126,1,0,0
3918,1,0,0
2110,0,1,0
7088,1,0,0
5342,1,0,0
1104,1,0,0
7713,0,1,0
6683,1,0,0
2011,0,1,0
7901,0,1,0
5037,1,0,0
7322,1,0,0
6926,1,0,0
4394,1,0,0
8102,1,0,0
1341,0,1,0
839,0,1,0
4099,1,0,0
7293,0,1,0
4159,1,0,0
3174,1,0,0
4156,0,1,0
1656,0,1,0
5922,1,0,0
491,0,1,0
5387,0,1,0
445,0,1,0
6667,1,0,0
5299,1,0,0
6069,0,1,0
4147,1,0,0
689,0,1,0
5847,1,0,0
4866,1,0,0
7846,0,1,0
6567,1,0,0
3676,1,0,0
4408,1,0,0
4924,0,1,0
5423,1,0,0
3925,0,1,0
2632,0,1,0
1840,0,1,0
5272,0,1,0
7754,0,1,0
1184,0,1,0
4023,1,0,0
7872,0,1,0
3528,0,1,0
5393,0,1,0
5326,0,1,0
2653,0,1,0
1657,0,1,0
1017,0,1,0
3736,0,1,0
5310,0,1,0
6990,0,1,0
1214,0,1,0
6971,0,1,0
5468,1,0,0
368,0,1,0
6290,1,0,0
3554,0,1,0
4142,0,1,0
4911,1,0,0
6913,1,0,0
2029,0,1,0
6132,1,0,0
7366,1,0,0
1264,0,1,0
1493,0,1,0
3648,1,0,0
4835,0,1,0
7589,1,0,0
7988,1,0,0
2135,0,1,0
142,0,1,0
6799,1,0,0
5882,1,0,0
7709,1,0,0
285,0,1,0
2546,0,1,0
3950,1,0,0
4199,1,0,0
1968,0,1,0
7736,1,0,0
7784,0,1,0
655,1,0,0
1720,0,1,0
7952,1,0,0
1263,1,0,0
1633,0,1,0
6198,1,0,0
2355,0,1,0
2521,0,1,0
3730,0,1,0
4338,1,0,0
138,0,1,0
4962,1,0,0
6242,1,0,0
3179,0,1,0
2302,0,1,0
1516,0,1,0
669,0,1,0
2278,0,1,0
8042,1,0,0
4788,1,0,0
6229,1,0,0
3562,0,1,0
1966,0,1,0
5494,1,0,0
3700,1,0,0
3921,0,1,0
6383,1,0,0
7390,1,0,0
3698,1,0,0
6862,1,0,0
3128,0,1,0
1274,0,1,0
3894,0,1,0
186,1,0,0
7132,1,0,0
7163,0,1,0
6829,1,0,0
249,0,1,0
1358,0,1,0
5510,1,0,0
5115,1,0,0
2754,0,1,0
4042,0,1,0
274,0,1,0
1305,0,1,0
7403,1,0,0
657,0,1,0
4862,1,0,0
1999,0,1,0
5944,1,0,0
2478,0,1,0
2587,0,1,0
1785,0,1,0
2615,0,1,0
992,0,1,0
3039,0,1,0
1112,1,0,0
4888,1,0,0
4833,1,0,0
354,0,1,0
7225,1,0,0
1405,0,1,0
5597,0,1,0
2946,0,1,0
2874,0,1,0
7217,1,0,0
4887,1,0,0
700,0,1,0
510,0,1,0
5606,1,0,0
3673,0,1,0
5543,1,0,0
7156,1,0,0
3716,0,1,0
2096,0,1,0
3131,0,1,0
130,0,1,0
4552,1,0,0
2789,0,1,0
1250,0,1,0
7873,0,1,0
3760,0,1,0
7858,1,0,0
75,0,1,0
5354,1,0,0
6768,1,0,0
6642,1,0,0
5656,1,0,0
2933,0,1,0
6599,1,0,0
2522,0,1,0
3498,0,1,0
231,0,1,0
7837,0,1,0
970,0,1,0
2252,0,1,0
8038,1,0,0
106,0,1,0
1909,0,1,0
5252,1,0,0
2313,0,1,0
4219,1,0,0
3413,0,1,0
2329,0,1,0
7042,0,1,0
6929,0,1,0
442,0,1,0
5844,1,0,0
6444,1,0,0
2708,0,1,0
5136,0,1,0
3527,0,1,0
2027,0,1,0
6274,1,0,0
2758,0,1,0
7444,0,1,0
940,0,1,0
2593,0,1,0
4675,1,0,0
6532,1,0,0
3117,0,1,0
917,0,1,0
2365,0,1,0
6151,1,0,0
5121,1,0,0
8035,0,1,0
7256,0,1,0
2616,0,1,0
8033,1,0,0
140,0,1,0
5177,0,1,0
1010,0,1,0
5048,1,0,0
5182,1,0,0
5706,1,0,0
688,0,1,0
3194,1,0,0
1793,0,1,0
4650,1,0,0
6562,1,0,0
3632,0,1,0
4192,1,0,0
6911,0,1,0
5479,1,0,0
5633,1,0,0
6655,1,0,0
6367,0,1,0
4354,1,0,0
