instance_id,msw_label,lc_entail_m,lc_entail_not_m,outcome
2,0,0,1,agree
3,1,1,0,agree
13,0,0,1,agree
14,1,1,0,agree
17,1,1,0,agree
21,0,0,1,agree
25,1,1,0,agree
29,1,1,0,agree
31,1,1,0,agree
34,1,1,0,agree
35,1,1,0,agree
39,0,0,1,agree
40,0,0,1,agree
47,0,0,1,agree
51,0,0,1,agree
52,0,0,1,agree
53,0,0,1,agree
54,0,0,1,agree
59,0,0,1,agree
62,1,1,0,agree
72,0,0,1,agree
77,1,1,0,agree
78,0,0,1,agree
86,0,0,1,agree
88,0,0,1,agree
95,1,1,0,agree
97,1,1,0,agree
103,1,1,0,agree
105,0,0,1,agree
111,1,1,0,agree
118,0,0,1,agree
126,1,1,0,agree
127,0,0,1,agree
128,1,1,0,agree
131,1,1,0,agree
136,1,1,0,agree
139,1,1,0,agree
140,1,1,0,agree
142,1,1,0,agree
143,0,0,1,agree
146,1,1,0,agree
155,1,1,0,agree
159,1,1,0,agree
160,0,0,1,agree
163,1,1,0,agree
166,1,1,0,agree
170,1,1,0,agree
171,1,1,0,agree
175,0,0,1,agree
177,1,1,0,agree
178,0,0,1,agree
184,0,0,1,agree
186,1,1,0,agree
187,0,0,1,agree
194,1,1,0,agree
195,1,1,0,agree
197,0,0,1,agree
203,1,1,0,agree
209,1,1,0,agree
217,1,1,0,agree
223,1,1,0,agree
224,0,0,1,agree
228,0,0,1,agree
229,1,1,0,agree
235,0,0,1,agree
240,0,0,1,agree
251,1,1,0,agree
256,0,0,1,agree
260,0,0,1,agree
261,0,0,1,agree
270,1,1,0,agree
273,0,0,1,agree
275,1,1,0,agree
276,1,1,0,agree
286,0,0,1,agree
287,0,0,1,agree
295,1,1,0,agree
297,0,0,1,agree
304,1,1,0,agree
306,0,0,1,agree
328,1,1,0,agree
334,0,0,1,agree
339,1,1,0,agree
340,0,0,1,agree
344,1,1,0,agree
353,0,0,1,agree
357,0,0,1,agree
358,0,0,1,agree
370,1,1,0,agree
372,1,1,0,agree
374,1,1,0,agree
381,1,1,0,agree
382,0,0,1,agree
383,1,1,0,agree
387,0,0,1,agree
404,1,1,0,agree
405,1,1,0,agree
407,1,1,0,agree
409,1,1,0,agree
410,1,1,0,agree
413,0,0,1,agree
416,0,0,1,agree
419,0,0,1,agree
423,1,1,0,agree
425,1,1,0,agree
426,0,0,1,agree
430,1,1,0,agree
434,1,1,0,agree
436,0,0,1,agree
441,0,0,1,agree
442,1,1,0,agree
447,1,1,0,agree
450,0,0,1,agree
455,1,1,0,agree
458,0,0,1,agree
463,1,1,0,agree
467,0,0,1,agree
472,1,1,0,agree
473,1,1,0,agree
482,1,1,0,agree
485,1,1,0,agree
488,0,0,1,agree
489,0,0,1,agree
495,1,1,0,agree
497,1,1,0,agree
501,1,1,0,agree
506,1,1,0,agree
507,0,0,1,agree
509,1,1,0,agree
510,1,1,0,agree
513,1,1,0,agree
520,0,0,1,agree
523,0,0,1,agree
525,1,1,0,agree
527,1,1,0,agree
528,1,1,0,agree
529,1,1,0,agree
530,1,1,0,agree
535,1,1,0,agree
553,1,1,0,agree
558,1,1,0,agree
561,1,1,0,agree
564,1,1,0,agree
571,0,0,1,agree
572,0,0,1,agree
573,1,1,0,agree
574,1,1,0,agree
578,1,1,0,agree
585,1,1,0,agree
589,0,0,1,agree
593,0,0,1,agree
600,1,1,0,agree
601,1,1,0,agree
603,1,1,0,agree
605,0,0,1,agree
607,1,1,0,agree
609,0,0,1,agree
616,1,1,0,agree
633,1,1,0,agree
636,1,1,0,agree
641,1,1,0,agree
647,1,1,0,agree
648,1,1,0,agree
650,1,1,0,agree
651,1,1,0,agree
655,1,1,0,agree
663,1,1,0,agree
669,0,0,1,agree
678,1,1,0,agree
679,1,1,0,agree
690,1,1,0,agree
692,0,0,1,agree
694,1,1,0,agree
698,0,0,1,agree
699,0,0,1,agree
