dataset,instance_id,msw_label,lc_entail_m,lc_entail_not_m,outcome
Bank,14,0,0,1,agree
Bank,15,0,0,1,agree
Bank,19,0,0,1,agree
Bank,20,0,0,1,agree
Bank,25,0,0,1,agree
Bank,34,0,0,1,agree
Bank,37,0,0,1,agree
Bank,44,0,0,1,agree
Bank,45,0,0,1,agree
Bank,47,0,0,1,agree
Bank,51,0,0,1,agree
Bank,52,0,0,1,agree
Bank,54,0,0,1,agree
Bank,55,0,0,1,agree
Bank,61,0,0,1,agree
Bank,66,0,0,1,agree
Bank,68,0,0,1,agree
Bank,71,0,0,1,agree
Bank,74,0,0,1,agree
Bank,77,0,0,1,agree
Bank,79,0,0,1,agree
Bank,84,0,0,1,agree
Bank,85,0,0,1,agree
Bank,86,0,0,1,agree
Bank,93,0,0,1,agree
Bank,95,0,0,1,agree
Bank,96,0,0,1,agree
Bank,106,0,0,1,agree
Bank,110,0,0,1,agree
Bank,111,0,0,1,agree
Bank,112,0,0,1,agree
Bank,113,0,0,1,agree
Bank,122,0,0,1,agree
Bank,123,0,0,1,agree
Bank,124,0,0,1,agree
Bank,125,0,0,1,agree
Bank,126,0,0,1,agree
Bank,127,0,0,1,agree
Bank,128,0,0,1,agree
Bank,131,0,0,1,agree
Bank,138,0,0,1,agree
Bank,140,0,0,1,agree
Bank,145,0,0,1,agree
Bank,150,0,0,1,agree
Bank,152,0,0,1,agree
Bank,154,0,0,1,agree
Bank,155,0,0,1,agree
Bank,166,0,0,1,agree
Bank,167,0,0,1,agree
Bank,176,0,0,1,agree
Bank,177,0,0,1,agree
Bank,186,0,0,1,agree
Bank,193,0,0,1,agree
Bank,194,0,0,1,agree
Bank,199,0,0,1,agree
Bank,210,0,0,1,agree
Bank,211,0,0,1,agree
Bank,214,0,0,1,agree
Bank,218,0,0,1,agree
Bank,219,0,0,1,agree
Bank,220,0,0,1,agree
Bank,225,0,0,1,agree
Bank,226,0,0,1,agree
Bank,228,0,0,1,agree
Bank,229,0,0,1,agree
Bank,231,0,0,1,agree
Bank,234,0,0,1,agree
Bank,238,0,0,1,agree
Bank,244,0,0,1,agree
Bank,246,0,0,1,agree
Bank,249,0,0,1,agree
Bank,251,0,0,1,agree
Bank,252,0,0,1,agree
Bank,254,0,0,1,agree
Bank,256,0,0,1,agree
Bank,257,0,0,1,agree
Bank,259,0,0,1,agree
Bank,262,0,0,1,agree
Bank,263,0,0,1,agree
Bank,266,0,0,1,agree
Bank,269,0,0,1,agree
Bank,273,0,0,1,agree
Bank,278,0,0,1,agree
Bank,280,0,0,1,agree
Bank,281,0,0,1,agree
Bank,284,0,0,1,agree
Bank,287,0,0,1,agree
Bank,290,0,0,1,agree
Bank,291,0,0,1,agree
Bank,296,0,0,1,agree
Bank,299,0,0,1,agree
Bank,302,0,0,1,agree
Bank,303,0,0,1,agree
Bank,304,0,0,1,agree
Bank,307,0,0,1,agree
Bank,313,0,0,1,agree
Bank,314,0,0,1,agree
Bank,316,0,0,1,agree
Bank,321,0,0,1,agree
Bank,325,0,0,1,agree
Bank,327,0,0,1,agree
Bank,329,0,0,1,agree
Bank,338,0,0,1,agree
Bank,344,0,0,1,agree
Bank,347,0,0,1,agree
Bank,351,0,0,1,agree
Bank,352,0,0,1,agree
Bank,354,0,0,1,agree
Bank,362,0,0,1,agree
Bank,365,0,0,1,agree
Bank,366,0,0,1,agree
Bank,368,0,0,1,agree
Bank,369,0,0,1,agree
Bank,370,0,0,1,agree
Bank,371,0,0,1,agree
Bank,374,0,0,1,agree
Bank,382,0,0,1,agree
Bank,385,0,0,1,agree
Bank,386,0,0,1,agree
Bank,389,0,0,1,agree
Bank,403,0,0,1,agree
Bank,405,0,0,1,agree
Bank,406,0,0,1,agree
Bank,407,0,0,1,agree
Bank,409,0,0,1,agree
Bank,425,0,0,1,agree
Bank,427,0,0,1,agree
Bank,431,0,0,1,agree
Bank,434,0,0,1,agree
Bank,439,0,0,1,agree
Bank,443,0,0,1,agree
Bank,447,0,0,1,agree
Bank,456,0,0,1,agree
Bank,460,0,0,1,agree
Bank,461,0,0,1,agree
Bank,465,0,0,1,agree
Bank,478,0,0,1,agree
Bank,485,0,0,1,agree
Bank,487,0,0,1,agree
Bank,488,0,0,1,agree
Bank,496,0,0,1,agree
Bank,497,0,0,1,agree
Bank,505,0,0,1,agree
Bank,520,0,0,1,agree
Bank,523,0,0,1,agree
Bank,529,0,0,1,agree
Bank,532,0,0,1,agree
Bank,533,0,0,1,agree
Bank,534,0,0,1,agree
Bank,543,0,0,1,agree
Bank,547,0,0,1,agree
Bank,548,0,0,1,agree
Bank,550,0,0,1,agree
Bank,551,0,0,1,agree
Bank,555,0,0,1,agree
Bank,557,0,0,1,agree
Bank,561,0,0,1,agree
Bank,568,0,0,1,agree
Bank,570,0,0,1,agree
Bank,574,0,0,1,agree
Bank,580,0,0,1,agree
Bank,588,0,0,1,agree
Bank,593,0,0,1,agree
Bank,596,0,0,1,agree
Bank,598,0,0,1,agree
Bank,603,0,0,1,agree
Bank,605,0,0,1,agree
Bank,608,0,0,1,agree
Bank,619,0,0,1,agree
Bank,620,0,0,1,agree
Bank,621,0,0,1,agree
Bank,623,0,0,1,agree
Bank,633,0,0,1,agree
Bank,641,0,0,1,agree
Bank,649,0,0,1,agree
Bank,659,0,0,1,agree
Bank,662,0,0,1,agree
Bank,671,0,0,1,agree
Bank,673,0,0,1,agree
Bank,674,0,0,1,agree
Bank,680,0,0,1,agree
Bank,681,0,0,1,agree
Bank,694,0,0,1,agree
Bank,695,0,0,1,agree
Bank,700,0,0,1,agree
Bank,702,0,0,1,agree
Bank,703,0,0,1,agree
Bank,705,0,0,1,agree
Bank,709,0,0,1,agree
Bank,710,0,0,1,agree
Bank,714,0,0,1,agree
Bank,716,0,0,1,agree
Bank,720,0,0,1,agree
Bank,727,0,0,1,agree
Bank,729,0,0,1,agree
Bank,734,0,0,1,agree
Bank,736,0,0,1,agree
Bank,743,0,0,1,agree
Bank,753,0,0,1,agree
Bank,762,0,0,1,agree
Bank,764,0,0,1,agree
Bank,765,0,0,1,agree
Bank,766,0,0,1,agree
Bank,771,0,0,1,agree
Bank,775,0,0,1,agree
Bank,779,0,0,1,agree
Bank,786,0,0,1,agree
Bank,789,0,0,1,agree
Bank,791,0,0,1,agree
Bank,795,0,0,1,agree
Bank,806,0,0,1,agree
Bank,807,0,0,1,agree
Bank,816,0,0,1,agree
Bank,820,0,0,1,agree
Bank,822,0,0,1,agree
Bank,823,0,0,1,agree
Bank,826,0,0,1,agree
Bank,844,0,0,1,agree
Bank,846,0,0,1,agree
Bank,847,0,0,1,agree
Bank,850,0,0,1,agree
Bank,851,0,0,1,agree
Bank,852,0,0,1,agree
Bank,857,0,0,1,agree
Bank,870,0,0,1,agree
Bank,875,0,0,1,agree
Bank,878,0,0,1,agree
Bank,883,0,0,1,agree
Bank,890,0,0,1,agree
Bank,897,0,0,1,agree
Bank,899,0,0,1,agree
Bank,902,0,0,1,agree
Bank,907,0,0,1,agree
Bank,911,0,0,1,agree
Bank,915,0,0,1,agree
Bank,918,0,0,1,agree
Bank,920,0,0,1,agree
Bank,927,0,0,1,agree
Bank,928,0,0,1,agree
Bank,934,0,0,1,agree
Bank,940,0,0,1,agree
Bank,941,0,0,1,agree
Bank,944,0,0,1,agree
Bank,965,0,0,1,agree
Bank,971,0,0,1,agree
Bank,973,0,0,1,agree
Bank,975,0,0,1,agree
Bank,977,0,0,1,agree
Bank,994,0,0,1,agree
Bank,996,0,0,1,agree
Bank,998,0,0,1,agree
Bank,999,0,0,1,agree
Bank,1000,0,0,1,agree
Bank,1004,0,0,1,agree
Bank,1007,0,0,1,agree
Bank,1009,0,0,1,agree
Bank,1013,0,0,1,agree
Bank,1020,0,0,1,agree
Bank,1026,0,0,1,agree
Bank,1031,0,0,1,agree
Bank,1034,0,0,1,agree
Bank,1035,0,0,1,agree
Bank,1036,0,0,1,agree
Bank,1041,0,0,1,agree
Bank,1047,0,0,1,agree
Bank,1055,0,0,1,agree
Bank,1056,0,0,1,agree
Bank,1057,0,0,1,agree
Bank,1060,0,0,1,agree
Bank,1065,0,0,1,agree
Bank,1068,0,0,1,agree
Bank,1073,0,0,1,agree
Bank,1074,0,0,1,agree
Bank,1077,0,0,1,agree
Bank,1084,0,0,1,agree
Bank,1108,0,0,1,agree
Bank,1110,0,0,1,agree
Bank,1118,0,0,1,agree
Bank,1119,0,0,1,agree
Bank,1120,0,0,1,agree
Bank,1124,0,0,1,agree
Bank,1126,0,0,1,agree
Bank,1130,0,0,1,agree
Bank,1131,0,0,1,agree
Bank,1132,0,0,1,agree
Bank,1133,0,0,1,agree
Bank,1139,0,0,1,agree
Bank,1141,0,0,1,agree
Bank,1143,0,0,1,agree
Bank,1145,0,0,1,agree
Bank,1146,0,0,1,agree
Bank,1147,0,0,1,agree
Bank,1152,0,0,1,agree
Bank,1159,0,0,1,agree
Bank,1165,0,0,1,agree
Bank,1171,0,0,1,agree
Bank,1176,0,0,1,agree
Bank,1182,0,0,1,agree
Bank,1183,0,0,1,agree
Bank,1184,0,0,1,agree
Bank,1188,0,0,1,agree
Bank,1189,0,0,1,agree
Bank,1194,0,0,1,agree
Bank,1195,0,0,1,agree
Bank,1207,0,0,1,agree
Bank,1208,0,0,1,agree
Bank,1216,0,0,1,agree
Bank,1219,0,0,1,agree
Bank,1225,0,0,1,agree
Bank,1240,0,0,1,agree
Bank,1242,0,0,1,agree
Bank,1246,0,0,1,agree
Bank,1248,0,0,1,agree
Bank,1252,0,0,1,agree
Bank,1256,0,0,1,agree
Bank,1258,0,0,1,agree
Bank,1268,0,0,1,agree
Bank,1274,0,0,1,agree
Bank,1281,0,0,1,agree
Bank,1286,0,0,1,agree
Bank,1296,0,0,1,agree
Bank,1311,0,0,1,agree
Bank,1316,0,0,1,agree
Bank,1319,0,0,1,agree
Bank,1325,0,0,1,agree
Bank,1326,0,0,1,agree
Bank,1332,0,0,1,agree
Bank,1333,0,0,1,agree
Bank,1335,0,0,1,agree
Bank,1339,0,0,1,agree
Bank,1345,0,0,1,agree
Bank,1346,0,0,1,agree
Bank,1351,0,0,1,agree
Bank,1357,0,0,1,agree
Bank,1362,0,0,1,agree
Bank,1363,0,0,1,agree
Bank,1364,0,0,1,agree
Bank,1369,0,0,1,agree
Bank,1374,0,0,1,agree
Bank,1378,0,0,1,agree
Bank,1381,0,0,1,agree
Bank,1386,0,0,1,agree
Bank,1388,0,0,1,agree
Bank,1392,0,0,1,agree
Bank,1395,0,0,1,agree
Bank,1403,0,0,1,agree
Bank,1408,0,0,1,agree
Bank,1422,0,0,1,agree
Bank,1431,0,0,1,agree
Bank,1432,0,0,1,agree
Bank,1439,0,0,1,agree
Bank,1441,0,0,1,agree
Bank,1445,0,0,1,agree
Bank,1450,0,0,1,agree
Bank,1452,0,0,1,agree
Bank,1454,0,0,1,agree
Bank,1457,0,0,1,agree
Bank,1466,0,0,1,agree
Bank,1467,0,0,1,agree
Bank,1473,0,0,1,agree
Bank,1475,0,0,1,agree
Bank,1482,0,0,1,agree
Bank,1483,0,0,1,agree
Bank,1484,0,0,1,agree
Bank,1489,0,0,1,agree
Bank,1490,0,0,1,agree
Bank,1496,0,0,1,agree
Bank,1497,0,0,1,agree
Bank,1499,0,0,1,agree
Bank,1502,0,0,1,agree
Bank,1514,0,0,1,agree
Bank,1516,0,0,1,agree
Bank,1517,0,0,1,agree
Bank,1524,0,0,1,agree
Bank,1526,0,0,1,agree
Bank,1527,0,0,1,agree
Bank,1531,0,0,1,agree
Bank,1532,0,0,1,agree
Bank,1538,0,0,1,agree
Bank,1541,0,0,1,agree
Bank,1544,0,0,1,agree
Bank,1545,0,0,1,agree
Bank,1546,0,0,1,agree
Bank,1548,0,0,1,agree
Bank,1552,0,0,1,agree
Bank,1553,0,0,1,agree
Bank,1554,0,0,1,agree
Bank,1559,0,0,1,agree
Bank,1565,0,0,1,agree
Bank,1566,0,0,1,agree
Bank,1571,0,0,1,agree
Bank,1572,0,0,1,agree
Bank,1573,0,0,1,agree
Bank,1574,0,0,1,agree
Bank,1582,0,0,1,agree
Bank,1585,0,0,1,agree
Bank,1592,0,0,1,agree
Bank,1593,0,0,1,agree
Bank,1599,0,0,1,agree
Bank,1602,0,0,1,agree
Bank,1605,0,0,1,agree
Bank,1607,0,0,1,agree
Bank,1626,0,0,1,agree
Bank,1628,0,0,1,agree
Bank,1631,0,0,1,agree
Bank,1633,0,0,1,agree
Bank,1634,0,0,1,agree
Bank,1640,0,0,1,agree
Bank,1645,0,0,1,agree
Bank,1656,0,0,1,agree
Bank,1662,0,0,1,agree
Bank,1664,0,0,1,agree
Bank,1666,0,0,1,agree
Bank,1668,0,0,1,agree
Bank,1669,0,0,1,agree
Bank,1670,0,0,1,agree
Bank,1671,0,0,1,agree
Bank,1672,0,0,1,agree
Bank,1673,0,0,1,agree
Bank,1674,0,0,1,agree
Bank,1676,0,0,1,agree
Bank,1677,0,0,1,agree
Bank,1682,0,0,1,agree
Bank,1683,0,0,1,agree
Bank,1684,0,0,1,agree
Bank,1689,0,0,1,agree
Bank,1692,0,0,1,agree
Bank,1696,0,0,1,agree
Bank,1701,0,0,1,agree
Bank,1705,0,0,1,agree
Bank,1711,0,0,1,agree
Bank,1716,0,0,1,agree
Bank,1731,0,0,1,agree
Bank,1740,0,0,1,agree
Bank,1744,0,0,1,agree
Bank,1748,0,0,1,agree
Bank,1755,0,0,1,agree
Bank,1756,0,0,1,agree
Bank,1762,0,0,1,agree
Bank,1763,0,0,1,agree
Bank,1766,0,0,1,agree
Bank,1773,0,0,1,agree
Bank,1776,0,0,1,agree
Bank,1782,0,0,1,agree
Bank,1788,0,0,1,agree
Bank,1791,0,0,1,agree
Bank,1796,0,0,1,agree
Bank,1797,0,0,1,agree
Bank,1798,0,0,1,agree
Bank,1801,0,0,1,agree
Bank,1804,0,0,1,agree
Bank,1815,0,0,1,agree
Bank,1821,0,0,1,agree
Bank,1822,0,0,1,agree
Bank,1823,0,0,1,agree
Bank,1825,0,0,1,agree
Bank,1833,0,0,1,agree
Bank,1837,0,0,1,agree
Bank,1842,0,0,1,agree
Bank,1849,0,0,1,agree
Bank,1852,0,0,1,agree
Bank,1853,0,0,1,agree
Bank,1854,0,0,1,agree
Bank,1856,0,0,1,agree
Bank,1863,0,0,1,agree
Bank,1866,0,0,1,agree
Bank,1867,0,0,1,agree
Bank,1869,0,0,1,agree
Bank,1872,0,0,1,agree
Bank,1873,0,0,1,agree
Bank,1874,0,0,1,agree
Bank,1877,0,0,1,agree
Bank,1878,0,0,1,agree
Bank,1880,0,0,1,agree
Bank,1884,0,0,1,agree
Bank,1888,0,0,1,agree
Bank,1891,0,0,1,agree
Bank,1892,0,0,1,agree
Bank,1893,0,0,1,agree
Bank,1922,0,0,1,agree
Bank,1927,0,0,1,agree
Bank,1930,0,0,1,agree
Bank,1932,0,0,1,agree
Bank,1935,0,0,1,agree
Bank,1944,0,0,1,agree
Bank,1953,0,0,1,agree
Bank,1956,0,0,1,agree
Bank,1957,0,0,1,agree
Bank,1963,0,0,1,agree
