dataset,instance_id,outcome,label_correct,label_violating,applicable_correct,applicable_violating,applicable_only_correct,applicable_only_violating,incl_max_correct,incl_max_violating,support_differs,jaccard_applicable
Mushroom,3,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,14,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,17,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,25,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,29,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,31,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,35,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,62,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,77,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,95,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,103,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,126,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,128,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,131,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,136,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,139,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,140,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,142,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,146,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
