instanceid,entail_m,entail_not_m,abstain
463,1,0,0
648,1,0,0
3,1,0,0
178,1,1,0
601,1,0,0
334,1,1,0
655,1,0,0
564,1,0,0
413,1,1,0
578,1,0,0
458,1,1,0
529,1,0,0
256,1,1,0
59,1,1,0
86,1,1,0
163,1,0,0
416,1,1,0
195,1,0,0
224,1,1,0
405,1,1,0
407,1,1,0
235,1,1,0
31,1,0,0
489,1,1,0
143,1,1,0
166,1,0,0
571,1,1,0
425,1,0,0
51,1,1,0
669,1,1,0
616,1,0,0
679,1,0,0
372,1,0,0
472,1,0,0
473,1,0,0
507,1,1,0
251,1,1,0
633,1,0,0
450,1,1,0
423,1,1,0
228,1,1,0
34,1,0,0
442,1,1,0
535,1,0,0
528,1,0,0
426,1,1,0
340,1,1,0
353,1,1,0
295,1,0,0
561,1,0,0
410,1,0,0
585,1,0,0
497,1,0,0
186,1,0,0
39,1,1,0
603,1,0,0
62,1,0,0
14,1,0,0
419,1,1,0
139,1,0,0
78,1,1,0
260,1,1,0
573,1,0,0
344,1,0,0
690,1,0,0
605,1,1,0
404,1,0,0
488,1,1,0
297,1,1,0
358,1,1,0
482,1,1,0
409,1,1,0
77,1,0,0
97,1,0,0
434,1,1,0
197,1,1,0
184,1,1,0
574,1,0,0
553,1,1,0
111,1,1,0
160,1,1,0
678,1,0,0
589,1,1,0
103,1,0,0
203,1,0,0
127,1,1,0
47,1,1,0
287,1,1,0
286,1,1,0
699,1,1,0
651,1,0,0
501,1,0,0
118,1,1,0
382,1,1,0
663,1,0,0
374,1,0,0
170,1,0,0
155,1,0,0
35,1,0,0
607,1,0,0
455,1,1,0
2,1,1,0
159,1,0,0
261,1,1,0
387,1,1,0
187,1,1,0
636,1,0,0
29,1,0,0
209,1,0,0
131,1,0,0
240,1,1,0
525,1,0,0
275,1,0,0
276,1,0,0
146,1,0,0
600,1,1,0
558,1,0,0
370,1,0,0
357,1,1,0
381,1,0,0
530,1,0,0
128,1,0,0
52,1,1,0
304,1,0,0
495,1,0,0
306,1,1,0
194,1,0,0
383,1,1,0
13,1,1,0
523,1,1,0
647,1,1,0
527,1,0,0
177,1,0,0
40,1,1,0
328,1,0,0
485,1,0,0
171,1,0,0
698,1,1,0
513,1,0,0
692,1,1,0
430,1,0,0
273,1,1,0
223,1,0,0
136,1,0,0
105,1,1,0
593,1,1,0
467,1,1,0
609,1,1,0
142,1,0,0
229,1,0,0
126,1,0,0
21,1,1,0
25,1,0,0
339,1,0,0
650,1,0,0
140,1,0,0
270,1,0,0
509,1,0,0
53,1,1,0
520,1,1,0
54,1,1,0
17,1,0,0
72,1,1,0
447,1,0,0
694,1,0,0
572,1,1,0
175,1,1,0
510,1,0,0
441,1,1,0
641,1,0,0
95,1,0,0
436,1,1,0
217,1,0,0
88,1,1,0
506,1,1,0
